"","Offense","Date","Year","Month","Hour","Weekday","NumCrimes","GroupA","GroupB","Assault","Suspicious_Persons_Activity","ShotsFired_IllegalHunting"
"6158","Burglary","2021-11-16","2021","November","12","Thurs",9,0,1,0,0,0
"6159","Vandalism","2021-11-16","2021","November","02","Thurs",9,0,1,0,0,0
"6160","Suspicious Activity","2021-11-15","2021","November","22","Wed",19,0,1,0,0,0
"6161","Larceny - From Motor Vehicle","2021-11-15","2021","November","21","Wed",19,0,1,0,0,0
"6162","Larceny - Of Veh Parts/Access","2021-11-15","2021","November","21","Wed",19,0,1,0,0,0
"6163","Lost/FoundProperty","2021-11-15","2021","November","20","Wed",19,0,1,0,0,0
"6164","Drug Investigation","2021-11-15","2021","November","20","Wed",19,0,1,0,0,0
"6165","Suspicious Activity","2021-11-15","2021","November","17","Wed",19,0,1,0,0,0
"6166","Larceny - From Motor Vehicle","2021-11-15","2021","November","16","Wed",19,0,1,0,0,0
"6167","Sex Offense - Assault w/Object","2021-11-15","2021","November","16","Wed",19,0,1,0,0,0
"6168","Larceny - Theft from Building","2021-11-15","2021","November","15","Wed",19,0,1,0,0,0
"6169","Vandalism","2021-11-15","2021","November","14","Wed",19,0,1,0,0,0
"6170","Suspicious Activity","2021-11-15","2021","November","13","Wed",19,0,1,0,0,0
"6171","Larceny - From Motor Vehicle","2021-11-15","2021","November","10","Wed",19,0,1,0,0,0
"6172","Larceny - From Motor Vehicle","2021-11-15","2021","November","08","Wed",19,0,1,0,0,0
"6173","Suspicious Activity","2021-11-15","2021","November","04","Wed",19,0,1,0,0,0
"6174","Vandalism","2021-11-15","2021","November","03","Wed",19,0,1,0,0,0
"6175","Vandalism","2021-11-15","2021","November","02","Wed",19,0,1,0,0,0
"6176","Drug/Narcotics Violation","2021-11-15","2021","November","01","Wed",19,0,1,0,0,0
"6177","Burglary","2021-11-15","2021","November","01","Wed",19,0,1,0,0,0
"6178","Larceny - From Motor Vehicle","2021-11-15","2021","November","00","Wed",19,0,1,0,0,0
"6179","Larceny - Shoplifitng","2021-11-14","2021","November","21","Tues",15,0,1,0,0,0
"6180","Larceny - All Other","2021-11-14","2021","November","20","Tues",15,0,1,0,0,0
"6181","Larceny - Theft from Building","2021-11-14","2021","November","20","Tues",15,0,1,0,0,0
"6182","Larceny - All Other","2021-11-14","2021","November","19","Tues",15,0,1,0,0,0
"6183","Hit and Run","2021-11-14","2021","November","19","Tues",15,0,1,0,0,0
"6184","Hit and Run","2021-11-14","2021","November","17","Tues",15,0,1,0,0,0
"6185","Larceny - All Other","2021-11-14","2021","November","16","Tues",15,0,1,0,0,0
"6186","Vandalism","2021-11-14","2021","November","16","Tues",15,0,1,0,0,0
"6187","Hit and Run","2021-11-14","2021","November","16","Tues",15,0,1,0,0,0
"6188","Animal Complaint","2021-11-14","2021","November","10","Tues",15,0,1,0,0,0
"6189","Assault Simple","2021-11-14","2021","November","08","Tues",15,0,1,0,0,0
"6190","Fraud-impersonation","2021-11-14","2021","November","05","Tues",15,0,1,0,0,0
"6191","Hit and Run","2021-11-14","2021","November","04","Tues",15,0,1,0,0,0
"6192","Assault Simple","2021-11-14","2021","November","04","Tues",15,0,1,0,0,0
"6193","Vandalism","2021-11-14","2021","November","00","Tues",15,0,1,0,0,0
"6194","Larceny - All Other","2021-11-13","2021","November","23","Mon",12,0,1,0,0,0
"6195","Assault Simple","2021-11-13","2021","November","22","Mon",12,0,1,0,0,0
"6196","Missing Person-juvenile","2021-11-13","2021","November","19","Mon",12,0,1,0,0,0
"6197","Missing Person-juvenile","2021-11-13","2021","November","19","Mon",12,0,1,0,0,0
"6198","Suspicious Activity","2021-11-13","2021","November","15","Mon",12,0,1,0,0,0
"6199","Hit and Run","2021-11-13","2021","November","14","Mon",12,0,1,0,0,0
"6200","Larceny - Of Veh Parts/Access","2021-11-13","2021","November","13","Mon",12,0,1,0,0,0
"6201","Suspicious Activity","2021-11-13","2021","November","11","Mon",12,0,1,0,0,0
"6202","Hit and Run","2021-11-13","2021","November","06","Mon",12,0,1,0,0,0
"6203","Burglary","2021-11-13","2021","November","04","Mon",12,0,1,0,0,0
"6204","Assist Agency - Backup/Assist","2021-11-13","2021","November","03","Mon",12,0,1,0,0,0
"6205","Lost/FoundProperty","2021-11-13","2021","November","01","Mon",12,0,1,0,0,0
"6206","Vandalism","2021-11-12","2021","November","23","Sun",10,0,1,0,0,0
"6207","Assault Aggravated","2021-11-12","2021","November","22","Sun",10,0,1,0,0,0
"6208","Assault Aggravated","2021-11-12","2021","November","21","Sun",10,0,1,0,0,0
"6209","Hit and Run","2021-11-12","2021","November","20","Sun",10,0,1,0,0,0
"6210","Lost/FoundProperty","2021-11-12","2021","November","20","Sun",10,0,1,0,0,0
"6211","Larceny - Theft from Building","2021-11-12","2021","November","19","Sun",10,0,1,0,0,0
"6212","Vandalism","2021-11-12","2021","November","16","Sun",10,0,1,0,0,0
"6213","Assist Agency - Backup/Assist","2021-11-12","2021","November","15","Sun",10,0,1,0,0,0
"6214","Animal Complaint","2021-11-12","2021","November","14","Sun",10,0,1,0,0,0
"6215","Accident Property Damage","2021-11-12","2021","November","10","Sun",10,0,1,0,0,0
"6216","Assault Simple","2021-11-11","2021","November","22","Sat",8,0,1,0,0,0
"6217","Vandalism","2021-11-11","2021","November","21","Sat",8,0,1,0,0,0
"6218","Hit and Run","2021-11-11","2021","November","21","Sat",8,0,1,0,0,0
"6219","Larceny - From Motor Vehicle","2021-11-11","2021","November","20","Sat",8,0,1,0,0,0
"6220","Hit and Run","2021-11-11","2021","November","20","Sat",8,0,1,0,0,0
"6221","Drug/Narcotics Violation","2021-11-11","2021","November","16","Sat",8,0,1,0,0,0
"6222","Larceny - Of Veh Parts/Access","2021-11-11","2021","November","14","Sat",8,0,1,0,0,0
"6223","Hit and Run","2021-11-11","2021","November","02","Sat",8,0,1,0,0,0
"6224","Animal Complaint","2021-11-10","2021","November","22","Fri",8,0,1,0,0,0
"6225","Forgery/Counterfeiting","2021-11-10","2021","November","20","Fri",8,0,1,0,0,0
"6226","Larceny - All Other","2021-11-10","2021","November","19","Fri",8,0,1,0,0,0
"6227","Hit and Run","2021-11-10","2021","November","18","Fri",8,0,1,0,0,0
"6228","Assault Intimidation","2021-11-10","2021","November","17","Fri",8,0,1,0,0,0
"6229","Fraud-false pretense","2021-11-10","2021","November","16","Fri",8,0,1,0,0,0
"6230","Sex Offense - Forcible Rape","2021-11-10","2021","November","10","Fri",8,0,1,0,0,0
"6231","Motor Vehicle Theft","2021-11-10","2021","November","02","Fri",8,0,1,0,0,0
"6232","Assault Simple","2021-11-09","2021","November","21","Thurs",14,0,1,0,0,0
"6233","Larceny - From Motor Vehicle","2021-11-09","2021","November","20","Thurs",14,0,1,0,0,0
"6234","Assault Simple","2021-11-09","2021","November","19","Thurs",14,0,1,0,0,0
"6235","Misc - Criminal Call","2021-11-09","2021","November","18","Thurs",14,0,1,0,0,0
"6236","Larceny - From Motor Vehicle","2021-11-09","2021","November","16","Thurs",14,0,1,0,0,0
"6237","Vandalism","2021-11-09","2021","November","14","Thurs",14,0,1,0,0,0
"6238","Hit and Run","2021-11-09","2021","November","13","Thurs",14,0,1,0,0,0
"6239","Larceny - Of Veh Parts/Access","2021-11-09","2021","November","13","Thurs",14,0,1,0,0,0
"6240","Misc - Non-Criminal Call","2021-11-09","2021","November","13","Thurs",14,0,1,0,0,0
"6241","Suspicious Activity","2021-11-09","2021","November","06","Thurs",14,0,1,0,0,0
"6242","Assist Agency - Backup/Assist","2021-11-09","2021","November","05","Thurs",14,0,1,0,0,0
"6243","Fraud-wire fraud","2021-11-09","2021","November","04","Thurs",14,0,1,0,0,0
"6244","Vandalism","2021-11-09","2021","November","03","Thurs",14,0,1,0,0,0
"6245","Assault Simple","2021-11-09","2021","November","02","Thurs",14,0,1,0,0,0
"6246","Larceny - All Other","2021-11-08","2021","November","23","Wed",16,0,1,0,0,0
"6247","Larceny - All Other","2021-11-08","2021","November","23","Wed",16,0,1,0,0,0
"6248","Lost/FoundProperty","2021-11-08","2021","November","23","Wed",16,0,1,0,0,0
"6249","Hit and Run","2021-11-08","2021","November","22","Wed",16,0,1,0,0,0
"6250","Lost/FoundProperty","2021-11-08","2021","November","22","Wed",16,0,1,0,0,0
"6251","Larceny - From Motor Vehicle","2021-11-08","2021","November","22","Wed",16,0,1,0,0,0
"6252","Larceny - Theft from Building","2021-11-08","2021","November","20","Wed",16,0,1,0,0,0
"6253","Misc - Non-Criminal Call","2021-11-08","2021","November","17","Wed",16,0,1,0,0,0
"6254","Misc - Non-Criminal Call","2021-11-08","2021","November","16","Wed",16,0,1,0,0,0
"6255","Larceny - All Other","2021-11-08","2021","November","16","Wed",16,0,1,0,0,0
"6256","Disorderly Conduct","2021-11-08","2021","November","15","Wed",16,0,1,0,0,0
"6257","Assault Intimidation","2021-11-08","2021","November","14","Wed",16,0,1,0,0,0
"6258","Lost/FoundProperty","2021-11-08","2021","November","14","Wed",16,0,1,0,0,0
"6259","Assault Simple","2021-11-08","2021","November","14","Wed",16,0,1,0,0,0
"6260","Domestic Disturbance","2021-11-08","2021","November","05","Wed",16,0,1,0,0,0
"6261","Traffic Stops","2021-11-08","2021","November","05","Wed",16,0,1,0,0,0
"6262","Larceny - From Motor Vehicle","2021-11-07","2021","November","23","Tues",13,0,1,0,0,0
"6263","Hit and Run","2021-11-07","2021","November","22","Tues",13,0,1,0,0,0
"6264","Hit and Run","2021-11-07","2021","November","22","Tues",13,0,1,0,0,0
"6265","Pornography","2021-11-07","2021","November","21","Tues",13,0,1,0,0,0
"6266","Assault Simple","2021-11-07","2021","November","17","Tues",13,0,1,0,0,0
"6267","Misc - Criminal Call","2021-11-07","2021","November","17","Tues",13,0,1,0,0,0
"6268","Robbery - Strong Arm","2021-11-07","2021","November","17","Tues",13,0,1,0,0,0
"6269","Assist Citizen - Mental/TDO/ECO","2021-11-07","2021","November","16","Tues",13,0,1,0,0,0
"6270","Assist Citizen - Mental/TDO/ECO","2021-11-07","2021","November","12","Tues",13,0,1,0,0,0
"6271","Assault Aggravated","2021-11-07","2021","November","08","Tues",13,0,1,0,0,0
"6272","Assist Citizen - Mental/TDO/ECO","2021-11-07","2021","November","05","Tues",13,0,1,0,0,0
"6273","Assist Agency - Backup/Assist","2021-11-07","2021","November","04","Tues",13,0,1,0,0,0
"6274","Suspicious Activity","2021-11-07","2021","November","03","Tues",13,0,1,0,0,0
"6275","Lost/FoundProperty","2021-11-06","2021","November","20","Mon",3,0,1,0,0,0
"6276","Robbery - Strong Arm","2021-11-06","2021","November","16","Mon",3,0,1,0,0,0
"6277","Death Investigation - DOA","2021-11-06","2021","November","07","Mon",3,0,1,0,0,0
"6278","Misc - Non-Criminal Call","2021-11-05","2021","November","23","Sun",12,0,1,0,0,0
"6279","Warrant Service","2021-11-05","2021","November","20","Sun",12,0,1,0,0,0
"6280","Disorderly Conduct","2021-11-05","2021","November","20","Sun",12,0,1,0,0,0
"6281","Lost/FoundProperty","2021-11-05","2021","November","19","Sun",12,0,1,0,0,0
"6282","Child Ab - Contr to Delinquency","2021-11-05","2021","November","19","Sun",12,0,1,0,0,0
"6283","Assault Simple","2021-11-05","2021","November","19","Sun",12,0,1,0,0,0
"6284","Hit and Run","2021-11-05","2021","November","18","Sun",12,0,1,0,0,0
"6285","Unauthorized Use of Motor Veh","2021-11-05","2021","November","18","Sun",12,0,1,0,0,0
"6286","Lost/FoundProperty","2021-11-05","2021","November","17","Sun",12,0,1,0,0,0
"6287","Larceny - All Other","2021-11-05","2021","November","15","Sun",12,0,1,0,0,0
"6288","Hit and Run","2021-11-05","2021","November","12","Sun",12,0,1,0,0,0
"6289","Vandalism","2021-11-05","2021","November","06","Sun",12,0,1,0,0,0
"6290","Assist Citizen - Mental/TDO/ECO","2021-11-04","2021","November","22","Sat",17,0,1,0,0,0
"6291","Hit and Run","2021-11-04","2021","November","21","Sat",17,0,1,0,0,0
"6292","Larceny - Shoplifitng","2021-11-04","2021","November","19","Sat",17,0,1,0,0,0
"6293","Larceny - All Other","2021-11-04","2021","November","18","Sat",17,0,1,0,0,0
"6294","Hit and Run","2021-11-04","2021","November","18","Sat",17,0,1,0,0,0
"6295","Larceny - Theft from Building","2021-11-04","2021","November","18","Sat",17,0,1,0,0,0
"6296","Larceny - From Motor Vehicle","2021-11-04","2021","November","17","Sat",17,0,1,0,0,0
"6297","Assault Simple","2021-11-04","2021","November","17","Sat",17,0,1,0,0,0
"6298","Assault Simple","2021-11-04","2021","November","17","Sat",17,0,1,0,0,0
"6299","Suspicious Activity","2021-11-04","2021","November","15","Sat",17,0,1,0,0,0
"6300","Larceny - All Other","2021-11-04","2021","November","14","Sat",17,0,1,0,0,0
"6301","Comm Relations Initiative - CRI","2021-11-04","2021","November","13","Sat",17,0,1,0,0,0
"6302","Vandalism","2021-11-04","2021","November","11","Sat",17,0,1,0,0,0
"6303","Assist Citizen - Mental/TDO/ECO","2021-11-04","2021","November","06","Sat",17,0,1,0,0,0
"6304","Larceny - Of Veh Parts/Access","2021-11-04","2021","November","00","Sat",17,0,1,0,0,0
"6305","Larceny - Theft from Building","2021-11-04","2021","November","00","Sat",17,0,1,0,0,0
"6306","Driving Under the Influence","2021-11-04","2021","November","00","Sat",17,0,1,0,0,0
"6307","Assist Citizen - Mental/TDO/ECO","2021-11-03","2021","November","22","Fri",7,0,1,0,0,0
"6308","Fraud-credit card","2021-11-03","2021","November","20","Fri",7,0,1,0,0,0
"6309","Larceny - All Other","2021-11-03","2021","November","19","Fri",7,0,1,0,0,0
"6310","Assault Simple","2021-11-03","2021","November","18","Fri",7,0,1,0,0,0
"6311","Assist Agency - Other","2021-11-03","2021","November","17","Fri",7,0,1,0,0,0
"6312","Assault Intimidation","2021-11-03","2021","November","15","Fri",7,0,1,0,0,0
"6313","Larceny - Of Veh Parts/Access","2021-11-03","2021","November","14","Fri",7,0,1,0,0,0
"6314","Suspicious Activity","2021-11-02","2021","November","23","Thurs",18,0,1,0,0,0
"6315","Family Offense - Non-Violent","2021-11-02","2021","November","22","Thurs",18,0,1,0,0,0
"6316","Larceny - All Other","2021-11-02","2021","November","22","Thurs",18,0,1,0,0,0
"6317","Hit and Run","2021-11-02","2021","November","21","Thurs",18,0,1,0,0,0
"6318","Hit and Run","2021-11-02","2021","November","18","Thurs",18,0,1,0,0,0
"6319","Suspicious Activity","2021-11-02","2021","November","18","Thurs",18,0,1,0,0,0
"6320","Hit and Run","2021-11-02","2021","November","18","Thurs",18,0,1,0,0,0
"6321","Motor Vehicle Theft","2021-11-02","2021","November","17","Thurs",18,0,1,0,0,0
"6322","Assault Intimidation","2021-11-02","2021","November","17","Thurs",18,0,1,0,0,0
"6323","Larceny - All Other","2021-11-02","2021","November","16","Thurs",18,0,1,0,0,0
"6324","Hit and Run","2021-11-02","2021","November","15","Thurs",18,0,1,0,0,0
"6325","Larceny - Of Veh Parts/Access","2021-11-02","2021","November","14","Thurs",18,0,1,0,0,0
"6326","Lost/FoundProperty","2021-11-02","2021","November","14","Thurs",18,0,1,0,0,0
"6327","Larceny - All Other","2021-11-02","2021","November","13","Thurs",18,0,1,0,0,0
"6328","Misc - Criminal Call","2021-11-02","2021","November","13","Thurs",18,0,1,0,0,0
"6329","Vandalism","2021-11-02","2021","November","11","Thurs",18,0,1,0,0,0
"6330","Driving Under the Influence","2021-11-02","2021","November","07","Thurs",18,0,1,0,0,0
"6331","Larceny - All Other","2021-11-02","2021","November","03","Thurs",18,0,1,0,0,0
"6332","Misc - Criminal Call","2021-11-01","2021","November","23","Wed",17,0,1,0,0,0
"6333","Comm Relations Initiative - CRI","2021-11-01","2021","November","23","Wed",17,0,1,0,0,0
"6334","Larceny - All Other","2021-11-01","2021","November","23","Wed",17,0,1,0,0,0
"6335","Larceny - Of Veh Parts/Access","2021-11-01","2021","November","21","Wed",17,0,1,0,0,0
"6336","Lost/FoundProperty","2021-11-01","2021","November","20","Wed",17,0,1,0,0,0
"6337","Hit and Run","2021-11-01","2021","November","17","Wed",17,0,1,0,0,0
"6338","Larceny - Theft from Building","2021-11-01","2021","November","16","Wed",17,0,1,0,0,0
"6339","Larceny - All Other","2021-11-01","2021","November","15","Wed",17,0,1,0,0,0
"6340","Hit and Run","2021-11-01","2021","November","15","Wed",17,0,1,0,0,0
"6341","Domestic Disturbance","2021-11-01","2021","November","14","Wed",17,0,1,0,0,0
"6342","Suspicious Activity","2021-11-01","2021","November","13","Wed",17,0,1,0,0,0
"6343","Larceny - All Other","2021-11-01","2021","November","13","Wed",17,0,1,0,0,0
"6344","Vandalism","2021-11-01","2021","November","12","Wed",17,0,1,0,0,0
"6345","Assault Aggravated","2021-11-01","2021","November","03","Wed",17,0,1,0,0,0
"6346","Lost/FoundProperty","2021-11-01","2021","November","02","Wed",17,0,1,0,0,0
"6347","Domestic Disturbance","2021-11-01","2021","November","00","Wed",17,0,1,0,0,0
"6348","Lost/FoundProperty","2021-11-01","2021","November","00","Wed",17,0,1,0,0,0
"6349","Misc - Non-Criminal Call","2021-10-31","2021","October","22","Tues",11,0,1,0,0,0
"6350","Hit and Run","2021-10-31","2021","October","22","Tues",11,0,1,0,0,0
"6351","Comm Relations Initiative - CRI","2021-10-31","2021","October","22","Tues",11,0,1,0,0,0
"6352","Assault Simple","2021-10-31","2021","October","21","Tues",11,0,1,0,0,0
"6353","Assault Simple","2021-10-31","2021","October","17","Tues",11,0,1,0,0,0
"6354","Disorderly Conduct","2021-10-31","2021","October","17","Tues",11,0,1,0,0,0
"6355","Larceny - From Motor Vehicle","2021-10-31","2021","October","15","Tues",11,0,1,0,0,0
"6356","Assault Simple","2021-10-31","2021","October","05","Tues",11,0,1,0,0,0
"6357","Assist Citizen - Mental/TDO/ECO","2021-10-31","2021","October","04","Tues",11,0,1,0,0,0
"6358","Assault Simple","2021-10-31","2021","October","04","Tues",11,0,1,0,0,0
"6359","Domestic Disturbance","2021-10-31","2021","October","03","Tues",11,0,1,0,0,0
"6360","Motor Vehicle Theft","2021-10-30","2021","October","20","Mon",11,0,1,0,0,0
"6361","Larceny - Shoplifitng","2021-10-30","2021","October","14","Mon",11,0,1,0,0,0
"6362","Animal Complaint","2021-10-30","2021","October","12","Mon",11,0,1,0,0,0
"6363","Accident - w/out Injuries","2021-10-30","2021","October","10","Mon",11,0,1,0,0,0
"6364","Larceny - Theft from Building","2021-10-30","2021","October","09","Mon",11,0,1,0,0,0
"6365","Assist Citizen - Mental/TDO/ECO","2021-10-30","2021","October","09","Mon",11,0,1,0,0,0
"6366","Suspicious Activity","2021-10-30","2021","October","08","Mon",11,0,1,0,0,0
"6367","Hit and Run","2021-10-30","2021","October","05","Mon",11,0,1,0,0,0
"6368","Drunkeness DIP","2021-10-30","2021","October","05","Mon",11,0,1,0,0,0
"6369","Assault Simple","2021-10-30","2021","October","04","Mon",11,0,1,0,0,0
"6370","Missing Person-juvenile","2021-10-30","2021","October","02","Mon",11,0,1,0,0,0
"6371","Larceny - Shoplifitng","2021-10-29","2021","October","17","Sun",7,0,1,0,0,0
"6372","Vandalism","2021-10-29","2021","October","15","Sun",7,0,1,0,0,0
"6373","Assault Simple","2021-10-29","2021","October","15","Sun",7,0,1,0,0,0
"6374","Assist Agency - Backup/Assist","2021-10-29","2021","October","15","Sun",7,0,1,0,0,0
"6375","Assault Simple","2021-10-29","2021","October","15","Sun",7,0,1,0,0,0
"6376","Motor Vehicle Theft","2021-10-29","2021","October","11","Sun",7,0,1,0,0,0
"6377","Hit and Run","2021-10-29","2021","October","05","Sun",7,0,1,0,0,0
"6378","Larceny - Shoplifitng","2021-10-28","2021","October","22","Sat",11,0,1,0,0,0
"6379","Assist Citizen - Mental/TDO/ECO","2021-10-28","2021","October","20","Sat",11,0,1,0,0,0
"6380","Larceny - All Other","2021-10-28","2021","October","12","Sat",11,0,1,0,0,0
"6381","Assault Simple","2021-10-28","2021","October","11","Sat",11,0,1,0,0,0
"6382","Assault Simple","2021-10-28","2021","October","05","Sat",11,0,1,0,0,0
"6383","Larceny - All Other","2021-10-28","2021","October","03","Sat",11,0,1,0,0,0
"6384","Animal - Bite","2021-10-28","2021","October","02","Sat",11,0,1,0,0,0
"6385","Noise Complaint","2021-10-28","2021","October","02","Sat",11,0,1,0,0,0
"6386","Assist Citizen - Mental/TDO/ECO","2021-10-28","2021","October","01","Sat",11,0,1,0,0,0
"6387","Assault Simple","2021-10-28","2021","October","00","Sat",11,0,1,0,0,0
"6388","Assist Citizen - Mental/TDO/ECO","2021-10-28","2021","October","00","Sat",11,0,1,0,0,0
"6389","Assault Simple","2021-10-27","2021","October","14","Fri",5,0,1,0,0,0
"6390","Vandalism","2021-10-27","2021","October","12","Fri",5,0,1,0,0,0
"6391","Fraud-wire fraud","2021-10-27","2021","October","03","Fri",5,0,1,0,0,0
"6392","Lost/FoundProperty","2021-10-27","2021","October","03","Fri",5,0,1,0,0,0
"6393","Larceny - Purse Snatching","2021-10-27","2021","October","02","Fri",5,0,1,0,0,0
"6394","Assault Simple","2021-10-26","2021","October","23","Thurs",11,0,1,0,0,0
"6395","Lost/FoundProperty","2021-10-26","2021","October","20","Thurs",11,0,1,0,0,0
"6396","Larceny - Shoplifitng","2021-10-26","2021","October","19","Thurs",11,0,1,0,0,0
"6397","Bomb Threat","2021-10-26","2021","October","18","Thurs",11,0,1,0,0,0
"6398","Larceny - From Motor Vehicle","2021-10-26","2021","October","17","Thurs",11,0,1,0,0,0
"6399","Animal Complaint","2021-10-26","2021","October","17","Thurs",11,0,1,0,0,0
"6400","Suspicious Activity","2021-10-26","2021","October","16","Thurs",11,0,1,0,0,0
"6401","Larceny - From Motor Vehicle","2021-10-26","2021","October","16","Thurs",11,0,1,0,0,0
"6402","Larceny - All Other","2021-10-26","2021","October","14","Thurs",11,0,1,0,0,0
"6403","Larceny - From Motor Vehicle","2021-10-26","2021","October","10","Thurs",11,0,1,0,0,0
"6404","Larceny - All Other","2021-10-26","2021","October","01","Thurs",11,0,1,0,0,0
"6405","Hit and Run","2021-10-25","2021","October","23","Wed",27,0,1,0,0,0
"6406","Sex Offense-forcible fondling","2021-10-25","2021","October","23","Wed",27,0,1,0,0,0
"6407","Hit and Run","2021-10-25","2021","October","23","Wed",27,0,1,0,0,0
"6408","Accident - w/out Injuries","2021-10-25","2021","October","22","Wed",27,0,1,0,0,0
"6409","Assault Simple","2021-10-25","2021","October","22","Wed",27,0,1,0,0,0
"6410","Forgery/Counterfeiting","2021-10-25","2021","October","21","Wed",27,0,1,0,0,0
"6411","Hit and Run","2021-10-25","2021","October","20","Wed",27,0,1,0,0,0
"6412","Larceny - Theft from Building","2021-10-25","2021","October","18","Wed",27,0,1,0,0,0
"6413","Assault Intimidation","2021-10-25","2021","October","17","Wed",27,0,1,0,0,0
"6414","Drug/Narcotics Violation","2021-10-25","2021","October","16","Wed",27,0,1,0,0,0
"6415","Hit and Run","2021-10-25","2021","October","16","Wed",27,0,1,0,0,0
"6416","Misc - Criminal Call","2021-10-25","2021","October","16","Wed",27,0,1,0,0,0
"6417","Drug/Narcotics Violation","2021-10-25","2021","October","16","Wed",27,0,1,0,0,0
"6418","Larceny - Of Veh Parts/Access","2021-10-25","2021","October","15","Wed",27,0,1,0,0,0
"6419","Lost/FoundProperty","2021-10-25","2021","October","15","Wed",27,0,1,0,0,0
"6420","Larceny - Theft from Building","2021-10-25","2021","October","15","Wed",27,0,1,0,0,0
"6421","Larceny - All Other","2021-10-25","2021","October","15","Wed",27,0,1,0,0,0
"6422","Vandalism","2021-10-25","2021","October","14","Wed",27,0,1,0,0,0
"6423","Larceny - From Motor Vehicle","2021-10-25","2021","October","14","Wed",27,0,1,0,0,0
"6424","Larceny - Of Veh Parts/Access","2021-10-25","2021","October","14","Wed",27,0,1,0,0,0
"6425","Larceny - From Motor Vehicle","2021-10-25","2021","October","13","Wed",27,0,1,0,0,0
"6426","Vandalism","2021-10-25","2021","October","12","Wed",27,0,1,0,0,0
"6427","Assault Simple","2021-10-25","2021","October","11","Wed",27,0,1,0,0,0
"6428","Hit and Run","2021-10-25","2021","October","09","Wed",27,0,1,0,0,0
"6429","Misc - Criminal Call","2021-10-25","2021","October","02","Wed",27,0,1,0,0,0
"6430","Assist Citizen - Mental/TDO/ECO","2021-10-25","2021","October","01","Wed",27,0,1,0,0,0
"6431","Larceny - All Other","2021-10-25","2021","October","00","Wed",27,0,1,0,0,0
"6432","Vandalism","2021-10-24","2021","October","22","Tues",14,0,1,0,0,0
"6433","Vandalism","2021-10-24","2021","October","21","Tues",14,0,1,0,0,0
"6434","Lost/FoundProperty","2021-10-24","2021","October","19","Tues",14,0,1,0,0,0
"6435","Sex Offense-forcible fondling","2021-10-24","2021","October","18","Tues",14,0,1,0,0,0
"6436","Hit and Run","2021-10-24","2021","October","17","Tues",14,0,1,0,0,0
"6437","Misc - Criminal Call","2021-10-24","2021","October","13","Tues",14,0,1,0,0,0
"6438","Vandalism","2021-10-24","2021","October","12","Tues",14,0,1,0,0,0
"6439","Burglary","2021-10-24","2021","October","12","Tues",14,0,1,0,0,0
"6440","Hit and Run","2021-10-24","2021","October","04","Tues",14,0,1,0,0,0
"6441","Warrant Service","2021-10-24","2021","October","04","Tues",14,0,1,0,0,0
"6442","Accident w/Injuries","2021-10-24","2021","October","03","Tues",14,0,1,0,0,0
"6443","Hit and Run","2021-10-24","2021","October","02","Tues",14,0,1,0,0,0
"6444","Lost/FoundProperty","2021-10-24","2021","October","00","Tues",14,0,1,0,0,0
"6445","Assault Simple","2021-10-24","2021","October","00","Tues",14,0,1,0,0,0
"6446","Hit and Run","2021-10-23","2021","October","23","Mon",14,0,1,0,0,0
"6447","Lost/FoundProperty","2021-10-23","2021","October","21","Mon",14,0,1,0,0,0
"6448","Vandalism","2021-10-23","2021","October","20","Mon",14,0,1,0,0,0
"6449","Animal - Bite","2021-10-23","2021","October","20","Mon",14,0,1,0,0,0
"6450","Warrant Service","2021-10-23","2021","October","17","Mon",14,0,1,0,0,0
"6451","Warrant Service","2021-10-23","2021","October","16","Mon",14,0,1,0,0,0
"6452","Larceny - From Motor Vehicle","2021-10-23","2021","October","16","Mon",14,0,1,0,0,0
"6453","Hit and Run","2021-10-23","2021","October","15","Mon",14,0,1,0,0,0
"6454","Larceny - All Other","2021-10-23","2021","October","15","Mon",14,0,1,0,0,0
"6455","Drunkeness DIP","2021-10-23","2021","October","06","Mon",14,0,1,0,0,0
"6456","Vandalism","2021-10-23","2021","October","04","Mon",14,0,1,0,0,0
"6457","Sex Offense-forcible fondling","2021-10-23","2021","October","04","Mon",14,0,1,0,0,0
"6458","Vandalism","2021-10-23","2021","October","02","Mon",14,0,1,0,0,0
"6459","Domestic Disturbance","2021-10-23","2021","October","01","Mon",14,0,1,0,0,0
"6460","Vandalism","2021-10-22","2021","October","22","Sun",13,0,1,0,0,0
"6461","Suspicious Activity","2021-10-22","2021","October","22","Sun",13,0,1,0,0,0
"6462","Assault Simple","2021-10-22","2021","October","20","Sun",13,0,1,0,0,0
"6463","Hit and Run","2021-10-22","2021","October","20","Sun",13,0,1,0,0,0
"6464","Suspicious Activity","2021-10-22","2021","October","17","Sun",13,0,1,0,0,0
"6465","Suspicious Activity","2021-10-22","2021","October","16","Sun",13,0,1,0,0,0
"6466","Sex Offense","2021-10-22","2021","October","16","Sun",13,0,1,0,0,0
"6467","Hit and Run","2021-10-22","2021","October","15","Sun",13,0,1,0,0,0
"6468","Larceny - Of Veh Parts/Access","2021-10-22","2021","October","15","Sun",13,0,1,0,0,0
"6469","Fraud-false pretense","2021-10-22","2021","October","11","Sun",13,0,1,0,0,0
"6470","Assist Citizen - Medical","2021-10-22","2021","October","10","Sun",13,0,1,0,0,0
